,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
104,-101.370903,33.22942355000001,-0.04761904761904634,46240000000.0,46.24,46240000000.0,11560000000,14000000000.0,32240000000.0,8060000000,1,2.0
105,-101.6243515,33.08042139999999,0.04761904761905189,46300000000.0,46.3,46300000000.0,11575000000,14000000000.0,32300000000.0,8075000000,1,2.0
106,-101.5941467,33.19698340000001,0.0,46360000000.0,46.36,46360000000.0,11590000000,14000000000.0,32360000000.0,8090000000,1,4.0
107,-102.1143646,32.20249174999999,0.04761904761905189,46420000000.0,46.42,46420000000.0,11605000000,14000000000.0,32420000000.0,8105000000,1,2.0
108,-102.6409683,31.956832899999995,0.0,46480000000.0,46.48,46480000000.0,11620000000,14000000000.0,32480000000.0,8120000000,1,1.0
109,-102.8643417,31.912513800000013,0.04761904761905189,46540000000.0,46.54,46540000000.0,11635000000,14000000000.0,32540000000.0,8135000000,1,3.0
110,-103.2120209,31.613647450000002,0.0,46600000000.0,46.6,46600000000.0,11650000000,14000000000.0,32600000000.0,8150000000,1,3.0
111,-104.1021042,30.74638365,0.0,46660000000.0,46.66,46660000000.0,11665000000,14000000000.0,32660000000.0,8165000000,1,2.0
112,-104.3962402,30.26812744999998,-0.04761904761904634,46720000000.0,46.72,46720000000.0,11680000000,14000000000.0,32720000000.0,8180000000,1,2.0
113,-104.9525452,30.020324700000003,0.0,46780000000.0,46.78,46780000000.0,11695000000,14000000000.0,32780000000.0,8195000000,1,4.0
114,-105.2355576,29.43210594999998,0.04761904761905189,46840000000.0,46.84,46840000000.0,11710000000,14000000000.0,32840000000.0,8210000000,1,5.0
115,-105.4700851,29.183761650000008,0.0,46900000000.0,46.9,46900000000.0,11725000000,14000000000.0,32900000000.0,8225000000,1,1.0
116,-105.4508209,29.28447725000001,0.04761904761905189,46960000000.0,46.96,46960000000.0,11740000000,14000000000.0,32960000000.0,8240000000,1,8.0
117,-105.8555603,29.141258250000007,0.0,47020000000.0,47.02,47020000000.0,11755000000,14000000000.0,33020000000.0,8255000000,1,4.0
118,-105.9055252,28.72660830000001,0.04761904761905189,47080000000.0,47.08,47080000000.0,11770000000,14000000000.0,33080000000.0,8270000000,1,5.0
119,-105.8693466,28.718505899999997,0.0,47140000000.0,47.14,47140000000.0,11785000000,14000000000.0,33140000000.0,8285000000,1,2.0
