,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
75,-22.66094208,53.535404205000006,-0.04761904761904634,44500000000.0,44.5,44500000000.0,11125000000,14000000000.0,30500000000.0,7625000000,1,2
76,-22.56538391,54.50312424,0.0,44560000000.0,44.56,44560000000.0,11140000000,14000000000.0,30560000000.0,7640000000,1,2
77,-22.52979851,53.755769730000004,0.0,44620000000.0,44.62,44620000000.0,11155000000,14000000000.0,30620000000.0,7655000000,1,1
78,-22.56547737,52.25177956,0.0,44680000000.0,44.68,44680000000.0,11170000000,14000000000.0,30680000000.0,7670000000,1,2
79,-22.64633369,54.376531605000004,0.0,44740000000.0,44.74,44740000000.0,11185000000,14000000000.0,30740000000.0,7685000000,1,2
80,-22.69438171,49.69654083499999,0.0,44800000000.0,44.8,44800000000.0,11200000000,14000000000.0,30800000000.0,7700000000,1,2
81,-22.67017746,52.88109589,0.0,44860000000.0,44.86,44860000000.0,11215000000,14000000000.0,30860000000.0,7715000000,1,2
82,-22.68250275,53.15729141,0.0,44920000000.0,44.92,44920000000.0,11230000000,14000000000.0,30920000000.0,7730000000,1,2
83,-22.74305725,52.776470190000005,0.0,44980000000.0,44.98,44980000000.0,11245000000,14000000000.0,30980000000.0,7745000000,1,2
84,-22.83757591,53.442052845000006,0.04761904761905189,45040000000.0,45.04,45040000000.0,11260000000,14000000000.0,31040000000.0,7760000000,1,2
85,-22.88015747,53.28142547499999,0.0,45100000000.0,45.1,45100000000.0,11275000000,14000000000.0,31100000000.0,7775000000,1,2
86,-22.86956024,53.37244796499999,0.0,45160000000.0,45.16,45160000000.0,11290000000,14000000000.0,31160000000.0,7790000000,1,2
87,-22.85466003,53.61347962000001,0.0,45220000000.0,45.22,45220000000.0,11305000000,14000000000.0,31220000000.0,7805000000,1,1
88,-22.86093903,53.76812362000001,0.0,45280000000.0,45.28,45280000000.0,11320000000,14000000000.0,31280000000.0,7820000000,1,2
89,-22.89446831,53.016405105,-0.04761904761904634,45340000000.0,45.34,45340000000.0,11335000000,14000000000.0,31340000000.0,7835000000,1,2
90,-22.86630821,53.07275963000001,0.0,45400000000.0,45.4,45400000000.0,11350000000,14000000000.0,31400000000.0,7850000000,1,2
91,-22.78478813,52.915056230000005,0.0,45460000000.0,45.46,45460000000.0,11365000000,14000000000.0,31460000000.0,7865000000,1,2
92,-22.70255852,53.184068675000006,0.0,45520000000.0,45.52,45520000000.0,11380000000,14000000000.0,31520000000.0,7880000000,1,2
93,-22.68685722,51.94486809000001,-0.04761904761904634,45580000000.0,45.58,45580000000.0,11395000000,14000000000.0,31580000000.0,7895000000,1,2
94,-22.6903553,52.58073997499999,0.04761904761905189,45640000000.0,45.64,45640000000.0,11410000000,14000000000.0,31640000000.0,7910000000,1,1
95,-22.64055443,52.65949820999999,0.0,45700000000.0,45.7,45700000000.0,11425000000,14000000000.0,31700000000.0,7925000000,1,2
96,-22.54957962,52.25548171999999,0.0,45760000000.0,45.76,45760000000.0,11440000000,14000000000.0,31760000000.0,7940000000,1,2
97,-22.47982025,53.123046875,0.0,45820000000.0,45.82,45820000000.0,11455000000,14000000000.0,31820000000.0,7955000000,1,2
98,-22.49933815,53.27995491,-0.04761904761904634,45880000000.0,45.88,45880000000.0,11470000000,14000000000.0,31880000000.0,7970000000,1,2
99,-22.53995895,53.29328918499999,0.0,45940000000.0,45.94,45940000000.0,11485000000,14000000000.0,31940000000.0,7985000000,1,2
100,-22.58006287,52.393310545,0.0,46000000000.0,46.0,46000000000.0,11500000000,14000000000.0,32000000000.0,8000000000,1,2
101,-22.48472214,53.18240738,-0.04761904761904634,46060000000.0,46.06,46060000000.0,11515000000,14000000000.0,32060000000.0,8015000000,1,2
102,-22.45379639,53.03100204,0.04761904761905189,46120000000.0,46.12,46120000000.0,11530000000,14000000000.0,32120000000.0,8030000000,1,1
103,-22.48098755,51.85409546000001,0.0,46180000000.0,46.18,46180000000.0,11545000000,14000000000.0,32180000000.0,8045000000,1,2
104,-22.56417847,52.928985595,0.0,46240000000.0,46.24,46240000000.0,11560000000,14000000000.0,32240000000.0,8060000000,1,2
105,-22.57458496,51.799228670000005,0.0,46300000000.0,46.3,46300000000.0,11575000000,14000000000.0,32300000000.0,8075000000,1,1
106,-22.5340538,51.796794895000005,0.0,46360000000.0,46.36,46360000000.0,11590000000,14000000000.0,32360000000.0,8090000000,1,2
107,-22.49214554,52.52688216999999,0.0,46420000000.0,46.42,46420000000.0,11605000000,14000000000.0,32420000000.0,8105000000,1,2
108,-22.50085068,52.24194717499999,0.0,46480000000.0,46.48,46480000000.0,11620000000,14000000000.0,32480000000.0,8120000000,1,2
109,-22.52514267,53.36391448999999,0.0,46540000000.0,46.54,46540000000.0,11635000000,14000000000.0,32540000000.0,8135000000,1,2
110,-22.5513916,53.26002502499999,0.0,46600000000.0,46.6,46600000000.0,11650000000,14000000000.0,32600000000.0,8150000000,1,2
111,-22.52685356,53.41688728500001,0.0,46660000000.0,46.66,46660000000.0,11665000000,14000000000.0,32660000000.0,8165000000,1,2
112,-22.50820541,52.71315384500001,0.0,46720000000.0,46.72,46720000000.0,11680000000,14000000000.0,32720000000.0,8180000000,1,2
113,-22.52800941,54.20030022499999,0.04761904761905189,46780000000.0,46.78,46780000000.0,11695000000,14000000000.0,32780000000.0,8195000000,1,2
114,-22.59244347,53.17968177500001,-0.04761904761904634,46840000000.0,46.84,46840000000.0,11710000000,14000000000.0,32840000000.0,8210000000,1,1
115,-22.60855865,52.690319065000004,0.0,46900000000.0,46.9,46900000000.0,11725000000,14000000000.0,32900000000.0,8225000000,1,2
116,-22.62315941,53.08654213,0.0,46960000000.0,46.96,46960000000.0,11740000000,14000000000.0,32960000000.0,8240000000,1,2
117,-22.66267395,52.824653624999996,0.0,47020000000.0,47.02,47020000000.0,11755000000,14000000000.0,33020000000.0,8255000000,1,2
118,-22.73701477,53.3412323,0.0,47080000000.0,47.08,47080000000.0,11770000000,14000000000.0,33080000000.0,8270000000,1,2
119,-22.83858871,52.3255539,-0.04761904761904634,47140000000.0,47.14,47140000000.0,11785000000,14000000000.0,33140000000.0,8285000000,1,2
120,-22.91824722,53.77880478,0.0,47200000000.0,47.2,47200000000.0,11800000000,14000000000.0,33200000000.0,8300000000,1,2
121,-23.00878143,52.552871710000005,0.0,47260000000.0,47.26,47260000000.0,11815000000,14000000000.0,33260000000.0,8315000000,1,2
122,-23.10044098,53.960067745,0.0,47320000000.0,47.32,47320000000.0,11830000000,14000000000.0,33320000000.0,8330000000,1,2
123,-23.23085022,52.88603591999999,0.0,47380000000.0,47.38,47380000000.0,11845000000,14000000000.0,33380000000.0,8345000000,1,2
124,-23.37156868,53.401739125000006,0.0,47440000000.0,47.44,47440000000.0,11860000000,14000000000.0,33440000000.0,8360000000,1,2
125,-23.52841949,53.161117559999994,0.0,47500000000.0,47.5,47500000000.0,11875000000,14000000000.0,33500000000.0,8375000000,1,2
126,-23.70526123,52.876621244999995,0.0,47560000000.0,47.56,47560000000.0,11890000000,14000000000.0,33560000000.0,8390000000,1,2
127,-23.93179321,53.25721741000001,-0.04761904761904634,47620000000.0,47.62,47620000000.0,11905000000,14000000000.0,33620000000.0,8405000000,1,1
128,-24.14982986,52.70676041,0.0,47680000000.0,47.68,47680000000.0,11920000000,14000000000.0,33680000000.0,8420000000,1,2
129,-24.31520081,53.41829681000001,0.0,47740000000.0,47.74,47740000000.0,11935000000,14000000000.0,33740000000.0,8435000000,1,2
130,-24.43074417,52.07868576,0.0,47800000000.0,47.8,47800000000.0,11950000000,14000000000.0,33800000000.0,8450000000,1,2
131,-24.49440384,52.899780269999994,0.0,47860000000.0,47.86,47860000000.0,11965000000,14000000000.0,33860000000.0,8465000000,1,2
132,-24.54661942,52.40996550999999,0.0,47920000000.0,47.92,47920000000.0,11980000000,14000000000.0,33920000000.0,8480000000,1,2
133,-24.56320953,53.553222659999996,0.04761904761905189,47980000000.0,47.98,47980000000.0,11995000000,14000000000.0,33980000000.0,8495000000,1,1
134,-24.52521896,52.541584015,0.0,48040000000.0,48.04,48040000000.0,12010000000,14000000000.0,34040000000.0,8510000000,1,2
135,-24.45451736,53.43100357499999,0.0,48100000000.0,48.1,48100000000.0,12025000000,14000000000.0,34100000000.0,8525000000,1,2
136,-24.36797333,53.73900222499999,0.0,48160000000.0,48.16,48160000000.0,12040000000,14000000000.0,34160000000.0,8540000000,1,2
137,-24.32901192,52.91946601500001,0.0,48220000000.0,48.22,48220000000.0,12055000000,14000000000.0,34220000000.0,8555000000,1,2
138,-24.26255798,53.39002991000001,0.0,48280000000.0,48.28,48280000000.0,12070000000,14000000000.0,34280000000.0,8570000000,1,2
139,-24.17585182,53.526693345000005,0.0,48340000000.0,48.34,48340000000.0,12085000000,14000000000.0,34340000000.0,8585000000,1,1
140,-23.99396133,52.88935089499999,0.0,48400000000.0,48.4,48400000000.0,12100000000,14000000000.0,34400000000.0,8600000000,1,2
141,-23.81450844,53.06339073000001,0.0,48460000000.0,48.46,48460000000.0,12115000000,14000000000.0,34460000000.0,8615000000,1,2
142,-23.64175987,53.88408851999999,0.0,48520000000.0,48.52,48520000000.0,12130000000,14000000000.0,34520000000.0,8630000000,1,2
143,-23.51570129,53.02976227500001,0.04761904761905189,48580000000.0,48.58,48580000000.0,12145000000,14000000000.0,34580000000.0,8645000000,1,2
144,-23.29681587,53.602624899999995,0.0,48640000000.0,48.64,48640000000.0,12160000000,14000000000.0,34640000000.0,8660000000,1,2
145,-23.04957199,51.655582429999995,0.0,48700000000.0,48.7,48700000000.0,12175000000,14000000000.0,34700000000.0,8675000000,1,2
146,-22.80345154,52.777381895000005,0.0,48760000000.0,48.76,48760000000.0,12190000000,14000000000.0,34760000000.0,8690000000,1,2
147,-22.64922333,52.238197325,0.0,48820000000.0,48.82,48820000000.0,12205000000,14000000000.0,34820000000.0,8705000000,1,2
148,-22.53079605,53.12517548,0.04761904761905189,48880000000.0,48.88,48880000000.0,12220000000,14000000000.0,34880000000.0,8720000000,1,2
149,-22.32135391,53.127475739999994,0.0,48940000000.0,48.94,48940000000.0,12235000000,14000000000.0,34940000000.0,8735000000,1,2
150,-22.10032845,53.224187844999996,0.0,49000000000.0,49.0,49000000000.0,12250000000,14000000000.0,35000000000.0,8750000000,1,2
151,-21.89604568,54.08105468999999,0.0,49060000000.0,49.06,49060000000.0,12265000000,14000000000.0,35060000000.0,8765000000,1,1
152,-21.81856346,53.41598701499999,0.0,49120000000.0,49.12,49120000000.0,12280000000,14000000000.0,35120000000.0,8780000000,1,2
153,-21.70300293,52.7316246,0.04761904761905189,49180000000.0,49.18,49180000000.0,12295000000,14000000000.0,35180000000.0,8795000000,1,2
154,-21.58059311,52.683147430000005,0.0,49240000000.0,49.24,49240000000.0,12310000000,14000000000.0,35240000000.0,8810000000,1,2
155,-21.42564011,52.327983849999995,0.04761904761905189,49300000000.0,49.3,49300000000.0,12325000000,14000000000.0,35300000000.0,8825000000,1,2
156,-21.3257103,53.81362914499999,0.0,49360000000.0,49.36,49360000000.0,12340000000,14000000000.0,35360000000.0,8840000000,1,2
157,-21.2699585,52.311450955,0.0,49420000000.0,49.42,49420000000.0,12355000000,14000000000.0,35420000000.0,8855000000,1,2
158,-21.25749588,52.731849669999995,0.0,49480000000.0,49.48,49480000000.0,12370000000,14000000000.0,35480000000.0,8870000000,1,2
159,-21.28264236,52.44989776999999,0.04761904761905189,49540000000.0,49.54,49540000000.0,12385000000,14000000000.0,35540000000.0,8885000000,1,1
160,-21.19732666,53.411376954999994,0.0,49600000000.0,49.6,49600000000.0,12400000000,14000000000.0,35600000000.0,8900000000,1,2
161,-21.15146446,52.747179035,0.0,49660000000.0,49.66,49660000000.0,12415000000,14000000000.0,35660000000.0,8915000000,1,2
162,-21.16304588,53.56884194,0.0,49720000000.0,49.72,49720000000.0,12430000000,14000000000.0,35720000000.0,8930000000,1,1
163,-21.26887894,53.283252714999996,0.0,49780000000.0,49.78,49780000000.0,12445000000,14000000000.0,35780000000.0,8945000000,1,2
164,-21.34223938,52.592124940000005,0.0,49840000000.0,49.84,49840000000.0,12460000000,14000000000.0,35840000000.0,8960000000,1,2
165,-21.3713131,53.25591468500001,0.0,49900000000.0,49.9,49900000000.0,12475000000,14000000000.0,35900000000.0,8975000000,1,2
166,-21.37734222,53.12386322500001,0.0,49960000000.0,49.96,49960000000.0,12490000000,14000000000.0,35960000000.0,8990000000,1,2
167,-21.50198364,53.372692109999996,0.04761904761905189,50020000000.0,50.02,50020000000.0,12505000000,14000000000.0,36020000000.0,9005000000,1,2
168,-21.64183807,52.88785934499999,0.0,50080000000.0,50.08,50080000000.0,12520000000,14000000000.0,36080000000.0,9020000000,1,2
169,-21.77650452,53.633739469999995,0.0,50140000000.0,50.14,50140000000.0,12535000000,14000000000.0,36140000000.0,9035000000,1,2
